0,1,2,3,4,5,6,7,8,9,10
onions,bottled water,cream cheese,hard cheese,,,,,,,
citrus fruit,chewing gum,brown bread,,,,,,,,
sausage,grapes,light bulbs,,,,,,,,
tropical fruit,onions,whipped/sour cream,,,,,,,,
sausage,whole milk,,,,,,,,,
bottled beer,pastry,cream cheese,,,,,,,,
other vegetables,soda,,,,,,,,,
pip fruit,soda,,,,,,,,,
mayonnaise,misc. beverages,napkins,,,,,,,,
frozen meals,mayonnaise,whipped/sour cream,,,,,,,,
whole milk,seasonal products,specialty fat,flour,,,,,,,
red/blush wine,salty snack,,,,,,,,,
sausage,whole milk,,,,,,,,,
whole milk,whole milk,,,,,,,,,
sausage,other vegetables,,,,,,,,,
soda,whole milk,,,,,,,,,
other vegetables,onions,shopping bags,,,,,,,,
sausage,hamburger meat,newspapers,,,,,,,,
pork,other vegetables,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
ice cream,waffles,,,,,,,,,
margarine,cream cheese,,,,,,,,,
yogurt,ham,,,,,,,,,
dog food,white bread,,,,,,,,,
root vegetables,pastry,,,,,,,,,
soda,cling film/bags,,,,,,,,,
sausage,whipped/sour cream,specialty bar,,,,,,,,
whole milk,white wine,UHT-milk,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
long life bakery product,butter milk,,,,,,,,,
rolls/buns,soda,,,,,,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
pork,yogurt,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
whipped/sour cream,tropical fruit,,,,,,,,,
frozen meals,abrasive cleaner,,,,,,,,,
sausage,canned vegetables,margarine,,,,,,,,
coffee,rolls/buns,other vegetables,,,,,,,,
cream cheese,whole milk,root vegetables,frankfurter,other vegetables,whole milk,dish cleaner,mustard,hygiene articles,,
chocolate,frozen fish,,,,,,,,,
bottled water,seasonal products,,,,,,,,,
rolls/buns,pastry,butter,processed cheese,other vegetables,whole milk,chocolate,hard cheese,butter,,
sugar,kitchen towels,,,,,,,,,
white bread,domestic eggs,,,,,,,,,
sugar,shopping bags,,,,,,,,,
soda,beverages,,,,,,,,,
pip fruit,UHT-milk,,,,,,,,,
red/blush wine,curd,,,,,,,,,
tropical fruit,hygiene articles,,,,,,,,,
frozen dessert,hard cheese,,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
whole milk,whipped/sour cream,soda,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
frozen meals,frozen meals,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
hamburger meat,cat food,,,,,,,,,
ham,frozen meals,,,,,,,,,
whipped/sour cream,grapes,yogurt,spread cheese,,,,,,,
flower (seeds),bottled beer,,,,,,,,,
soda,other vegetables,,,,,,,,,
whole milk,margarine,,,,,,,,,
pork,bottled beer,whole milk,margarine,,,,,,,
herbs,whole milk,,,,,,,,,
pip fruit,specialty chocolate,liquor,rolls/buns,,,,,,,
pastry,shopping bags,,,,,,,,,
candy,margarine,,,,,,,,,
oil,soda,,,,,,,,,
berries,brown bread,,,,,,,,,
citrus fruit,curd,napkins,,,,,,,,
citrus fruit,waffles,,,,,,,,,
whipped/sour cream,white bread,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
rolls/buns,cereals,,,,,,,,,
ham,pastry,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
candy,domestic eggs,,,,,,,,,
bottled water,shopping bags,bottled water,,,,,,,,
canned beer,baking powder,,,,,,,,,
waffles,whole milk,,,,,,,,,
newspapers,whole milk,,,,,,,,,
tropical fruit,citrus fruit,chocolate,,,,,,,,
chewing gum,cream cheese,,,,,,,,,
soda,onions,other vegetables,,,,,,,,
sausage,bottled water,mustard,bottled beer,,,,,,,
curd,shopping bags,,,,,,,,,
frozen dessert,beef,citrus fruit,root vegetables,,,,,,,
chicken,margarine,long life bakery product,,,,,,,,
butter,soda,,,,,,,,,
ham,tropical fruit,,,,,,,,,
frankfurter,rolls/buns,coffee,white wine,,,,,,,
white wine,soft cheese,,,,,,,,,
bottled beer,canned vegetables,,,,,,,,,
pip fruit,soda,,,,,,,,,
citrus fruit,pastry,rolls/buns,,,,,,,,
liver loaf,processed cheese,,,,,,,,,
bottled beer,canned fish,fruit/vegetable juice,,,,,,,,
citrus fruit,pastry,other vegetables,pastry,,,,,,,
rolls/buns,dessert,bottled water,chocolate,,,,,,,
whipped/sour cream,berries,cream cheese,,,,,,,,
pip fruit,waffles,cat food,,,,,,,,
canned beer,chocolate,,,,,,,,,
ham,chicken,,,,,,,,,
sausage,canned beer,,,,,,,,,
margarine,whole milk,white bread,,,,,,,,
pastry,berries,,,,,,,,,
chicken,cream,,,,,,,,,
UHT-milk,beverages,,,,,,,,,
beef,rolls/buns,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
bottled water,soft cheese,dishes,chocolate,,,,,,,
tropical fruit,coffee,,,,,,,,,
tropical fruit,bottled beer,cake bar,yogurt,,,,,,,
frankfurter,dessert,,,,,,,,,
chicken,shopping bags,other vegetables,whole milk,,,,,,,
pastry,chocolate,,,,,,,,,
pip fruit,nuts/prunes,bottled beer,,,,,,,,
whole milk,coffee,salty snack,root vegetables,yogurt,oil,soft cheese,,,,
pastry,baking powder,mustard,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
sausage,other vegetables,,,,,,,,,
sausage,cream cheese,,,,,,,,,
whole milk,pastry,,,,,,,,,
frozen meals,ham,specialty chocolate,roll products,,,,,,,
packaged fruit/vegetables,pudding powder,shopping bags,coffee,,,,,,,
whole milk,soda,,,,,,,,,
curd,yogurt,misc. beverages,pickled vegetables,,,,,,,
pastry,brown bread,,,,,,,,,
pet care,beef,,,,,,,,,
sugar,whole milk,,,,,,,,,
canned beer,male cosmetics,white wine,ice cream,,,,,,,
citrus fruit,rolls/buns,whole milk,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
sausage,other vegetables,,,,,,,,,
margarine,yogurt,,,,,,,,,
whole milk,pickled vegetables,soda,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
soft cheese,pip fruit,,,,,,,,,
whole milk,cream cheese,,,,,,,,,
fruit/vegetable juice,long life bakery product,,,,,,,,,
coffee,yogurt,oil,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
soft cheese,chewing gum,cling film/bags,,,,,,,,
sausage,dessert,,,,,,,,,
herbs,pork,sugar,hard cheese,long life bakery product,,,,,,
white wine,soda,,,,,,,,,
packaged fruit/vegetables,rolls/buns,root vegetables,napkins,soft cheese,,,,,,
dessert,newspapers,domestic eggs,,,,,,,,
sausage,whole milk,dessert,UHT-milk,,,,,,,
tropical fruit,coffee,,,,,,,,,
margarine,napkins,,,,,,,,,
long life bakery product,semi-finished bread,,,,,,,,,
soda,cream cheese,,,,,,,,,
pip fruit,rolls/buns,soda,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
canned beer,coffee,flour,,,,,,,,
finished products,root vegetables,,,,,,,,,
semi-finished bread,rolls/buns,,,,,,,,,
pastry,yogurt,,,,,,,,,
herbs,rolls/buns,,,,,,,,,
fruit/vegetable juice,pasta,,,,,,,,,
dessert,chocolate,,,,,,,,,
frozen meals,chicken,whipped/sour cream,whole milk,bottled beer,,,,,,
canned beer,flower soil/fertilizer,,,,,,,,,
coffee,oil,,,,,,,,,
newspapers,coffee,soft cheese,,,,,,,,
waffles,napkins,,,,,,,,,
hamburger meat,citrus fruit,specialty chocolate,other vegetables,,,,,,,
sausage,pickled vegetables,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
UHT-milk,processed cheese,,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
frozen vegetables,onions,,,,,,,,,
pasta,brown bread,beef,long life bakery product,citrus fruit,whipped/sour cream,specialty cheese,frozen vegetables,,,
frankfurter,long life bakery product,,,,,,,,,
curd,pastry,,,,,,,,,
pork,yogurt,,,,,,,,,
photo/film,whipped/sour cream,,,,,,,,,
whole milk,root vegetables,curd,yogurt,,,,,,,
beverages,dessert,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
grapes,whole milk,,,,,,,,,
sausage,citrus fruit,red/blush wine,frozen vegetables,cream,,,,,,
cat food,pet care,oil,,,,,,,,
onions,curd,,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
pip fruit,frozen vegetables,,,,,,,,,
beverages,coffee,,,,,,,,,
whole milk,white wine,,,,,,,,,
nut snack,long life bakery product,whole milk,frozen meals,,,,,,,
pip fruit,soda,,,,,,,,,
shopping bags,other vegetables,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
citrus fruit,white bread,white bread,,,,,,,,
chicken,canned beer,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
yogurt,napkins,,,,,,,,,
pork,rolls/buns,,,,,,,,,
white bread,seasonal products,,,,,,,,,
citrus fruit,rolls/buns,frozen vegetables,,,,,,,,
frankfurter,baking powder,condensed milk,coffee,,,,,,,
beef,newspapers,,,,,,,,,
whole milk,pastry,,,,,,,,,
hard cheese,rolls/buns,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sausage,pickled vegetables,,,,,,,,,
pork,yogurt,,,,,,,,,
curd,long life bakery product,,,,,,,,,
semi-finished bread,bottled water,,,,,,,,,
frankfurter,onions,,,,,,,,,
sliced cheese,onions,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
whole milk,domestic eggs,yogurt,,,,,,,,
shopping bags,sausage,,,,,,,,,
whole milk,waffles,chocolate,,,,,,,,
other vegetables,dessert,,,,,,,,,
sausage,bottled water,,,,,,,,,
soda,rolls/buns,soda,,,,,,,,
tropical fruit,margarine,,,,,,,,,
coffee,bottled water,,,,,,,,,
fruit/vegetable juice,brown bread,,,,,,,,,
soda,napkins,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
bottled water,yogurt,,,,,,,,,
rolls/buns,napkins,cream cheese,shopping bags,,,,,,,
yogurt,bottled beer,rolls/buns,yogurt,sugar,,,,,,
tropical fruit,brandy,whole milk,canned fish,,,,,,,
white bread,dog food,potato products,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
UHT-milk,root vegetables,cake bar,,,,,,,,
soda,soda,,,,,,,,,
sweet spreads,male cosmetics,,,,,,,,,
specialty chocolate,onions,,,,,,,,,
bottled beer,seasonal products,,,,,,,,,
newspapers,whole milk,waffles,,,,,,,,
soda,tropical fruit,specialty chocolate,root vegetables,,,,,,,
rolls/buns,canned beer,,,,,,,,,
white bread,soda,,,,,,,,,
frankfurter,frozen meals,,,,,,,,,
butter,whole milk,,,,,,,,,
chicken,tropical fruit,whipped/sour cream,,,,,,,,
sausage,root vegetables,,,,,,,,,
citrus fruit,curd,specialty chocolate,canned beer,,,,,,,
whole milk,yogurt,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
pork,meat,,,,,,,,,
canned beer,liquor,onions,chocolate,,,,,,,
ham,other vegetables,,,,,,,,,
beef,canned beer,,,,,,,,,
whole milk,brown bread,,,,,,,,,
pet care,snack products,,,,,,,,,
shopping bags,specialty chocolate,,,,,,,,,
whole milk,salty snack,pip fruit,whole milk,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
rolls/buns,curd cheese,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
canned beer,whole milk,,,,,,,,,
pork,whole milk,other vegetables,tidbits,coffee,,,,,,
sausage,hamburger meat,,,,,,,,,
root vegetables,seasonal products,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
meat,rolls/buns,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
frozen potato products,salt,coffee,,,,,,,,
herbs,yogurt,newspapers,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
zwieback,curd,,,,,,,,,
soda,frozen meals,liquor (appetizer),specialty chocolate,,,,,,,
UHT-milk,newspapers,salty snack,,,,,,,,
frankfurter,rolls/buns,rolls/buns,,,,,,,,
long life bakery product,butter,,,,,,,,,
sausage,root vegetables,soda,chocolate marshmallow,,,,,,,
white bread,flour,,,,,,,,,
onions,canned fish,,,,,,,,,
whole milk,grapes,root vegetables,shopping bags,,,,,,,
whole milk,butter,,,,,,,,,
soda,root vegetables,whole milk,pastry,,,,,,,
flour,seasonal products,,,,,,,,,
flour,chocolate marshmallow,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
ham,whole milk,,,,,,,,,
onions,curd,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
root vegetables,butter milk,shopping bags,cream cheese,,,,,,,
beef,domestic eggs,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
coffee,whole milk,,,,,,,,,
coffee,margarine,,,,,,,,,
ham,rolls/buns,flower (seeds),,,,,,,,
soda,yogurt,whole milk,coffee,,,,,,,
pastry,brown bread,,,,,,,,,
sausage,yogurt,,,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
beverages,cat food,soda,,,,,,,,
other vegetables,pip fruit,chocolate,,,,,,,,
rolls/buns,pork,,,,,,,,,
beef,root vegetables,,,,,,,,,
sausage,rolls/buns,soda,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
soda,cream cheese,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
citrus fruit,beef,,,,,,,,,
butter,whole milk,,,,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
newspapers,coffee,,,,,,,,,
bottled water,coffee,curd,,,,,,,,
other vegetables,chewing gum,newspapers,,,,,,,,
canned beer,specialty cheese,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
whole milk,pot plants,,,,,,,,,
meat,cling film/bags,curd,,,,,,,,
curd cheese,UHT-milk,,,,,,,,,
whole milk,pot plants,,,,,,,,,
domestic eggs,white bread,whipped/sour cream,,,,,,,,
other vegetables,yogurt,,,,,,,,,
sugar,popcorn,baking powder,,,,,,,,
onions,pork,,,,,,,,,
canned fish,rolls/buns,,,,,,,,,
other vegetables,margarine,bottled water,,,,,,,,
margarine,brandy,root vegetables,shopping bags,,,,,,,
beverages,soda,,,,,,,,,
baking powder,brown bread,,,,,,,,,
ham,pastry,sugar,,,,,,,,
baking powder,root vegetables,,,,,,,,,
chicken,beef,white bread,semi-finished bread,,,,,,,
pork,bottled water,,,,,,,,,
dessert,mustard,white bread,,,,,,,,
artif. sweetener,herbs,,,,,,,,,
citrus fruit,cling film/bags,fruit/vegetable juice,,,,,,,,
butter,whipped/sour cream,rolls/buns,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
frankfurter,chocolate,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
dessert,brown bread,,,,,,,,,
ice cream,canned beer,semi-finished bread,,,,,,,,
coffee,hard cheese,domestic eggs,,,,,,,,
shopping bags,cream cheese,cream cheese,,,,,,,,
ice cream,candy,canned beer,,,,,,,,
liquor (appetizer),soda,,,,,,,,,
tropical fruit,butter milk,softener,,,,,,,,
yogurt,pastry,waffles,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
brown bread,frozen meals,cat food,white bread,,,,,,,
whole milk,domestic eggs,rolls/buns,long life bakery product,,,,,,,
ice cream,hamburger meat,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
soda,mayonnaise,,,,,,,,,
pork,dessert,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
oil,frozen potato products,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
cream cheese,rolls/buns,,,,,,,,,
bottled water,whole milk,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
domestic eggs,pastry,,,,,,,,,
whipped/sour cream,bottled beer,fruit/vegetable juice,margarine,,,,,,,
rolls/buns,whole milk,,,,,,,,,
root vegetables,beverages,,,,,,,,,
dessert,rice,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
berries,root vegetables,,,,,,,,,
beef,other vegetables,,,,,,,,,
bottled water,UHT-milk,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
tropical fruit,cat food,,,,,,,,,
canned vegetables,dental care,,,,,,,,,
whole milk,sausage,spread cheese,hygiene articles,,,,,,,
whole milk,waffles,soft cheese,domestic eggs,dish cleaner,bathroom cleaner,,,,,
sparkling wine,chocolate,,,,,,,,,
sausage,soda,curd,house keeping products,,,,,,,
soda,dessert,,,,,,,,,
berries,white bread,,,,,,,,,
chicken,tropical fruit,,,,,,,,,
sausage,shopping bags,,,,,,,,,
curd,whole milk,pastry,,,,,,,,
rolls/buns,yogurt,napkins,yogurt,candy,sliced cheese,,,,,
beverages,canned beer,,,,,,,,,
frozen fruits,citrus fruit,,,,,,,,,
yogurt,soda,,,,,,,,,
beef,sweet spreads,,,,,,,,,
frankfurter,grapes,,,,,,,,,
curd,soft cheese,,,,,,,,,
brown bread,salt,,,,,,,,,
napkins,beef,brown bread,,,,,,,,
fruit/vegetable juice,butter,brown bread,dental care,,,,,,,
whole milk,coffee,,,,,,,,,
sugar,whole milk,,,,,,,,,
whole milk,domestic eggs,pasta,,,,,,,,
whole milk,cocoa drinks,,,,,,,,,
whole milk,cat food,long life bakery product,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
whole milk,canned beer,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
chicken,pip fruit,,,,,,,,,
pork,pork,rolls/buns,sparkling wine,,,,,,,
whole milk,yogurt,,,,,,,,,
berries,pastry,,,,,,,,,
sausage,flower (seeds),,,,,,,,,
citrus fruit,chicken,,,,,,,,,
pork,dishes,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
tropical fruit,sausage,tropical fruit,detergent,butter,newspapers,,,,,
rolls/buns,shopping bags,,,,,,,,,
other vegetables,beef,tropical fruit,root vegetables,shopping bags,,,,,,
soda,root vegetables,,,,,,,,,
rolls/buns,curd,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
butter,chocolate,,,,,,,,,
onions,onions,,,,,,,,,
pork,rolls/buns,,,,,,,,,
soda,salty snack,,,,,,,,,
chicken,butter,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
ham,whipped/sour cream,soda,light bulbs,,,,,,,
beverages,yogurt,,,,,,,,,
domestic eggs,rolls/buns,,,,,,,,,
ham,canned beer,,,,,,,,,
yogurt,cream cheese,,,,,,,,,
meat,pork,,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
whole milk,pastry,specialty cheese,,,,,,,,
whole milk,flour,berries,,,,,,,,
butter milk,soda,,,,,,,,,
pot plants,herbs,,,,,,,,,
soda,pork,bottled water,,,,,,,,
sausage,herbs,,,,,,,,,
hamburger meat,salt,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
whole milk,canned beer,,,,,,,,,
rolls/buns,pip fruit,margarine,,,,,,,,
soda,bottled water,house keeping products,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
ham,yogurt,bottled water,,,,,,,,
frozen potato products,chocolate marshmallow,,,,,,,,,
bottled water,margarine,,,,,,,,,
other vegetables,sausage,whole milk,butter milk,packaged fruit/vegetables,,,,,,
red/blush wine,domestic eggs,,,,,,,,,
frozen meals,pip fruit,dish cleaner,processed cheese,,,,,,,
pip fruit,whole milk,napkins,,,,,,,,
tropical fruit,candy,fruit/vegetable juice,,,,,,,,
yogurt,pastry,,,,,,,,,
canned beer,newspapers,,,,,,,,,
other vegetables,pork,rolls/buns,rolls/buns,,,,,,,
pastry,napkins,,,,,,,,,
butter,canned fish,cream cheese,,,,,,,,
frankfurter,fruit/vegetable juice,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
chicken,shopping bags,,,,,,,,,
pork,pork,frankfurter,frozen fish,waffles,napkins,rolls/buns,,,,
root vegetables,bottled water,,,,,,,,,
specialty bar,candy,root vegetables,ice cream,,,,,,,
soda,berries,root vegetables,bottled beer,,,,,,,
beef,frozen meals,white bread,,,,,,,,
other vegetables,napkins,newspapers,,,,,,,,
whole milk,soft cheese,soda,brown bread,,,,,,,
other vegetables,soda,rolls/buns,dishes,,,,,,,
butter,cream,,,,,,,,,
house keeping products,newspapers,,,,,,,,,
candy,domestic eggs,,,,,,,,,
soda,bottled beer,,,,,,,,,
root vegetables,newspapers,,,,,,,,,
grapes,butter,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
hygiene articles,rolls/buns,,,,,,,,,
whole milk,napkins,,,,,,,,,
pot plants,shopping bags,coffee,,,,,,,,
cling film/bags,other vegetables,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
frankfurter,pork,ketchup,,,,,,,,
curd,yogurt,,,,,,,,,
yogurt,ketchup,butter,,,,,,,,
rolls/buns,UHT-milk,,,,,,,,,
brown bread,other vegetables,,,,,,,,,
ham,chocolate marshmallow,,,,,,,,,
rolls/buns,whole milk,shopping bags,,,,,,,,
meat,onions,whole milk,whole milk,,,,,,,
curd,citrus fruit,,,,,,,,,
pork,yogurt,margarine,,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
bottled beer,shopping bags,,,,,,,,,
rolls/buns,female sanitary products,,,,,,,,,
bottled beer,newspapers,,,,,,,,,
sausage,pastry,,,,,,,,,
sausage,pet care,,,,,,,,,
waffles,whole milk,condensed milk,,,,,,,,
processed cheese,rolls/buns,oil,flour,,,,,,,
onions,canned fruit,,,,,,,,,
turkey,whole milk,,,,,,,,,
seasonal products,soups,,,,,,,,,
hard cheese,sweet spreads,,,,,,,,,
pork,frozen dessert,,,,,,,,,
napkins,white bread,,,,,,,,,
ham,citrus fruit,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
frankfurter,frankfurter,hard cheese,frozen potato products,bottled water,shopping bags,,,,,
light bulbs,frozen vegetables,mustard,napkins,,,,,,,
frankfurter,whole milk,,,,,,,,,
other vegetables,liquor (appetizer),,,,,,,,,
curd,tropical fruit,,,,,,,,,
soda,mustard,,,,,,,,,
whole milk,dog food,pastry,,,,,,,,
pot plants,tropical fruit,pip fruit,whole milk,semi-finished bread,,,,,,
sausage,curd,,,,,,,,,
onions,grapes,,,,,,,,,
bottled water,frozen fish,,,,,,,,,
chicken,finished products,meat,fruit/vegetable juice,,,,,,,
sparkling wine,bottled water,,,,,,,,,
citrus fruit,specialty fat,,,,,,,,,
whole milk,hamburger meat,soft cheese,long life bakery product,margarine,bottled beer,,,,,
white bread,bottled water,,,,,,,,,
canned beer,bottled water,,,,,,,,,
soda,abrasive cleaner,seasonal products,,,,,,,,
UHT-milk,frozen vegetables,frozen meals,,,,,,,,
meat,specialty chocolate,,,,,,,,,
candy,curd,,,,,,,,,
berries,domestic eggs,,,,,,,,,
semi-finished bread,rolls/buns,fruit/vegetable juice,tropical fruit,,,,,,,
citrus fruit,chewing gum,,,,,,,,,
pip fruit,UHT-milk,,,,,,,,,
soda,roll products,seasonal products,,,,,,,,
tropical fruit,cookware,whole milk,oil,,,,,,,
whole milk,Instant food products,,,,,,,,,
coffee,UHT-milk,,,,,,,,,
bottled water,canned beer,,,,,,,,,
coffee,soda,photo/film,domestic eggs,,,,,,,
root vegetables,soda,,,,,,,,,
turkey,bottled water,,,,,,,,,
tropical fruit,soft cheese,,,,,,,,,
beef,pip fruit,rolls/buns,,,,,,,,
newspapers,butter,long life bakery product,,,,,,,,
tropical fruit,canned fish,,,,,,,,,
sausage,curd,whole milk,condensed milk,,,,,,,
pork,whole milk,,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
coffee,bottled water,roll products,,,,,,,,
fruit/vegetable juice,pip fruit,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
condensed milk,whole milk,,,,,,,,,
dessert,cream cheese,,,,,,,,,
frozen meals,sausage,canned beer,brown bread,frozen vegetables,chocolate,,,,,
sausage,oil,cream cheese,,,,,,,,
sausage,grapes,sliced cheese,napkins,,,,,,,
pip fruit,salty snack,pastry,,,,,,,,
vinegar,rolls/buns,,,,,,,,,
pork,semi-finished bread,,,,,,,,,
beverages,newspapers,,,,,,,,,
hamburger meat,grapes,candy,,,,,,,,
whole milk,pasta,,,,,,,,,
beef,frozen vegetables,,,,,,,,,
berries,domestic eggs,coffee,,,,,,,,
soda,liquor (appetizer),,,,,,,,,
frankfurter,dog food,,,,,,,,,
root vegetables,soda,,,,,,,,,
tropical fruit,chewing gum,,,,,,,,,
chicken,pastry,,,,,,,,,
whole milk,sausage,yogurt,whole milk,butter,,,,,,
tropical fruit,berries,other vegetables,yogurt,kitchen towels,napkins,,,,,
oil,specialty vegetables,,,,,,,,,
beverages,chocolate marshmallow,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
white wine,whole milk,misc. beverages,,,,,,,,
tropical fruit,rolls/buns,fruit/vegetable juice,,,,,,,,
misc. beverages,whole milk,,,,,,,,,
beef,shopping bags,,,,,,,,,
bottled water,chocolate,,,,,,,,,
fruit/vegetable juice,detergent,,,,,,,,,
cream cheese,frankfurter,root vegetables,yogurt,,,,,,,
frankfurter,ketchup,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
shopping bags,soda,,,,,,,,,
pip fruit,pastry,,,,,,,,,
other vegetables,meat spreads,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
bottled beer,rolls/buns,other vegetables,,,,,,,,
pasta,shopping bags,,,,,,,,,
frankfurter,berries,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
soda,chewing gum,,,,,,,,,
white wine,whole milk,,,,,,,,,
beverages,whole milk,butter milk,fruit/vegetable juice,,,,,,,
sausage,bottled beer,photo/film,margarine,whipped/sour cream,,,,,,
ham,pork,pork,soda,,,,,,,
beef,other vegetables,,,,,,,,,
white bread,cleaner,,,,,,,,,
fish,tropical fruit,red/blush wine,cream cheese,,,,,,,
meat,liquor,,,,,,,,,
root vegetables,ham,butter,brown bread,pastry,spread cheese,,,,,
rolls/buns,ham,whole milk,sliced cheese,whole milk,fruit/vegetable juice,pickled vegetables,misc. beverages,,,
hamburger meat,butter milk,,,,,,,,,
fruit/vegetable juice,herbs,dishes,,,,,,,,
pip fruit,hard cheese,detergent,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
chocolate marshmallow,other vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
tropical fruit,whole milk,chocolate,,,,,,,,
sausage,soda,bottled beer,yogurt,,,,,,,
frankfurter,pork,pastry,canned vegetables,,,,,,,
brown bread,bottled water,,,,,,,,,
root vegetables,soda,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
rolls/buns,detergent,shopping bags,,,,,,,,
bottled water,chocolate,,,,,,,,,
chicken,margarine,,,,,,,,,
yogurt,pot plants,,,,,,,,,
newspapers,other vegetables,shopping bags,,,,,,,,
pork,whole milk,,,,,,,,,
pastry,pip fruit,,,,,,,,,
sausage,yogurt,,,,,,,,,
rolls/buns,domestic eggs,coffee,,,,,,,,
whole milk,citrus fruit,pip fruit,butter,grapes,ice cream,margarine,whipped/sour cream,,,
bottled water,softener,rolls/buns,,,,,,,,
coffee,softener,,,,,,,,,
sliced cheese,newspapers,frozen vegetables,,,,,,,,
ice cream,margarine,sliced cheese,pastry,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
sliced cheese,whole milk,,,,,,,,,
pet care,photo/film,,,,,,,,,
sausage,pip fruit,chocolate,,,,,,,,
whole milk,pip fruit,,,,,,,,,
pudding powder,mustard,,,,,,,,,
rolls/buns,berries,,,,,,,,,
pip fruit,candy,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
